Date,Open,High,Low,Close,Adj Close,Volume
2023-06-12,64.790001,66.480003,62.869999,66.449997,66.449997,9667000
2023-06-19,66.389999,69.040001,65.610001,68.690002,68.690002,8821700
2023-06-26,68.120003,70.269997,67.739998,69.699997,69.699997,7278100
2023-07-03,70.550003,71.269997,65.900002,66.320000,66.320000,10074000
2023-07-10,66.239998,68.099998,65.480003,67.559998,67.559998,7076400
2023-07-17,68.290001,71.160004,68.150002,70.449997,70.449997,16937900
2023-07-24,70.360001,71.389999,67.889999,68.089996,68.089996,8834500
2023-07-31,68.599998,69.029999,65.900002,66.830002,66.830002,6033200
2023-08-07,66.839996,67.540001,66.050003,66.320000,66.320000,5374300
2023-08-14,65.870003,65.879997,62.439999,62.849998,62.849998,9423600
2023-08-21,63.290001,63.880001,62.389999,62.730000,62.730000,8906800
2023-08-28,63.209999,63.980000,62.279999,62.799999,62.799999,8380600
2023-09-04,62.939999,64.669998,62.290001,64.360001,64.360001,5759900
2023-09-11,64.820000,66.209999,64.709999,65.019997,65.019997,8043700
2023-09-18,64.470001,64.910004,58.680000,58.869999,58.869999,24349500
2023-09-25,58.970001,59.580002,57.950001,59.009998,59.009998,12681700
2023-10-02,59.099998,59.580002,57.310001,59.290001,59.290001,9638000
2023-10-09,58.250000,59.799999,58.099998,58.200001,58.200001,8361100
2023-10-16,59.090000,59.700001,56.910000,57.270000,57.270000,14772600
2023-10-23,57.049999,57.610001,56.150002,56.330002,56.330002,11591700
2023-10-30,56.930000,58.639999,56.049999,57.900002,57.900002,8800800
2023-11-06,57.919998,58.110001,55.950001,56.610001,56.610001,7368100
2023-11-08,56.700001,56.820000,56.299999,56.610001,56.610001,1745027
